cities,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,
Kohlapur,Windspeed,2002,2.5,1.97,2.32,2.58,3.98,4.6,5.49,5.09,2.95,2.17,2.06,1.96,3.31
Kohlapur,Windspeed,2003,1.91,2.02,2.21,2.46,4.14,4.92,5.02,4.59,3.55,1.89,2.24,2.3,3.15
Kohlapur,Windspeed,2004,2.08,2,2.12,2.78,3.76,5.11,4.6,5.7,2.51,2.52,2.52,2.49,3.11
Kohlapur,Windspeed,2005,2.03,2.21,2.38,2.2,3.38,4.87,5.32,4.72,3.55,2.02,2.52,2.29,3.19
Kohlapur,Windspeed,2006,2.4,2.19,2.35,2.94,3.67,3.93,6.35,5.27,2.73,2.3,2.24,2.37,3.13
Kohlapur,Windspeed,2007,1.87,2.2,2.27,2.38,3.75,4.75,5.17,4.74,3.26,2,2.2,2.27,3.24
Kohlapur,Windspeed,2008,2.14,2.12,1.88,2.48,4.12,5.36,5.05,4.29,3.07,2.23,2.64,2.18,3.08
Kohlapur,Windspeed,2009,2.11,1.8,2.09,2.64,3.74,4.43,6.74,3.98,2.63,2.33,2.57,2.09,3.13
Kohlapur,Windspeed,2010,1.97,2.24,2.4,2.45,3.87,4.52,5.12,4.33,2.93,2.22,2.07,2.13,3.11
Kohlapur,Windspeed,2011,2.12,2.11,2.3,2.48,3.63,5.71,5.49,4.9,3.5,2.05,2.74,2.36,3.02
Kohlapur,Windspeed,2012,2.03,2.14,2.33,2.41,4.06,5.22,5.4,4.99,3.55,2.34,1.59,2.1,3.29
Kohlapur,Windspeed,2013,1.8,2.09,2.58,3.06,4.14,5.48,6.3,4.52,2.71,2.36,2.16,2.2,3.19
Kohlapur,Windspeed,2014,2.16,2.44,2.27,2.25,2.9,4.85,6.08,3.99,3.21,1.88,2.27,2.27,3.29
Kohlapur,Windspeed,2015,2.04,2.08,2.19,2.56,3.33,5.09,5.49,4.02,2.67,1.69,2.3,2.28,3.05
Kohlapur,Windspeed,2016,2.04,2.01,2.28,2.92,3.81,4.4,4.88,4.73,3.16,2.02,2.15,2.37,2.98
Kohlapur,Windspeed,2017,2.05,2.27,2.23,2.81,3.45,4.68,5.61,3.87,2.26,1.6,1.93,2.27,3.07
Kohlapur,Windspeed,2018,1.84,1.91,1.97,2.38,3.02,4.49,5.82,5.42,2.4,1.74,1.86,2.05,2.92
Kohlapur,Windspeed,2019,2.12,2.19,2.4,2.72,3.69,4.11,4.97,4.99,3.7,1.94,2.02,2.06,2.91
Kohlapur,Windspeed,2020,1.96,2.14,2.46,2.42,3.06,4.05,4.02,4.95,2.72,1.82,2.3,2.09,3.09
Kohlapur,Windspeed,2021,1.56,2.19,1.91,2.18,3.14,4.05,4.84,3.55,3.7,1.82,2.16,1.84,2.84
Kohlapur,Windspeed,2022,1.97,1.91,2.16,2.1,3.91,3.86,5.01,4.46,2.73,1.87,2.16,2.05,2.75
Kohlapur,Precipitation,2000,0,0,0,0,0,5.27,10.55,5.27,0,0,0,0,2.86
Kohlapur,Precipitation,2001,0,0,0,0,0,5.27,5.27,5.27,5.27,0,0,0,0
Kohlapur,Precipitation,2002,0,0,0,0,0,10.55,0,5.27,0,0,0,0,0
Kohlapur,Precipitation,2003,0,0,0,0,0,5.27,5.27,5.27,0,0,0,0,0
Kohlapur,Precipitation,2004,0,0,0,0,0,10.55,5.27,5.27,5.27,0,0,0,0
Kohlapur,Precipitation,2005,0,0,0,0,0,5.27,10.55,5.27,5.27,0,0,0,0
Kohlapur,Precipitation,2006,0,0,0,0,5.27,10.55,10.55,5.27,5.27,0,0,0,5.27
Kohlapur,Precipitation,2007,0,0,0,0,0,10.55,5.27,10.55,5.27,0,0,0,5.27
Kohlapur,Precipitation,2008,0,0,0,0,0,5.27,5.27,5.27,5.27,0,0,0,5.27
Kohlapur,Precipitation,2009,0,0,0,0,0,5.27,10.55,5.27,5.27,5.27,0,0,0
Kohlapur,Precipitation,2010,0,0,0,0,0,5.27,10.55,5.27,5.27,5.27,0,0,0
Kohlapur,Precipitation,2011,0,0,0,0,0,5.27,10.55,5.27,5.27,0,0,0,5.27
Kohlapur,Precipitation,2012,0,0,0,0,0,5.27,5.27,5.27,5.27,0,0,0,0
Kohlapur,Precipitation,2013,0,0,0,0,0,10.55,10.55,0,5.27,0,0,0,0
Kohlapur,Precipitation,2014,0,0,0,0,0,0,10.55,5.27,0,0,0,0,0
Kohlapur,Precipitation,2015,0,0,0,0,0,5.27,5.27,0,5.27,0,0,0,0
Kohlapur,Precipitation,2016,0,0,0,0,0,10.55,15.82,10.55,5.27,0,0,0,0
Kohlapur,Precipitation,2017,0,0,0,0,0,5.27,10.55,5.27,10.55,5.27,0,0,5.27
Kohlapur,Precipitation,2018,0,0,0,0,0,10.55,10.55,5.27,5.27,0,0,0,5.27
Kohlapur,Precipitation,2019,0,0,0,0,0,5.27,15.82,15.82,10.55,5.27,0,0,5.27
Kohlapur,Precipitation,2020,0,0,0,0,0,10.55,10.55,15.82,5.27,5.27,0,0,5.27
Kohlapur,Precipitation,2021,0.17,0.19,0,1.23,4.84,12.3,20.35,3.49,5.79,3.01,1.51,2.31,5.27
Kohlapur,Precipitation,2022,0.03,0,0.25,1.27,1.9,5.53,13.12,10.82,6.58,5.94,0.04,0.02,4.63
Kohlapur,ALLSKY_SFC_SW_DWN,2000,5.4,6.25,6.92,7.4,6.55,4.8,5.05,4.54,5.3,5.28,5.12,4.87,3.83
Kohlapur,ALLSKY_SFC_SW_DWN,2001,4.89,6.19,6.73,6.56,6.69,4.68,3.93,3.92,4.83,4.97,5.23,4.91,5.62
Kohlapur,ALLSKY_SFC_SW_DWN,2002,5.24,5.79,6.52,6.86,6.56,4.37,4.38,3.84,5.55,4.99,5.35,4.96,5.29
Kohlapur,ALLSKY_SFC_SW_DWN,2003,4.96,6.03,6.42,6.8,7.18,5.05,4.17,4.15,4.83,5.23,5.23,5.13,5.36
Kohlapur,ALLSKY_SFC_SW_DWN,2004,5.25,6.18,6.85,7.1,5.84,4.64,4.3,4.02,4.64,5.52,5.11,5.24,5.42
Kohlapur,ALLSKY_SFC_SW_DWN,2005,5.07,6.16,6.75,6.34,6.8,4.93,3.72,3.89,3.98,5.09,5.42,5.03,5.39
Kohlapur,ALLSKY_SFC_SW_DWN,2006,5.44,6.3,6.55,6.93,6.26,4.99,3.65,3.8,4.76,4.99,4.49,5,5.26
Kohlapur,ALLSKY_SFC_SW_DWN,2007,5.26,6.09,6.4,6.7,6.62,4.45,3.99,4.11,4.2,4.95,5.38,4.79,5.25
Kohlapur,ALLSKY_SFC_SW_DWN,2008,5.46,5.73,6.07,6.94,7.05,4.55,4.4,3.97,4.43,5.6,4.88,4.95,5.24
Kohlapur,ALLSKY_SFC_SW_DWN,2009,5.46,6.12,6.36,6.51,6.66,5.12,3.68,4.48,4.39,4.81,4.56,4.59,5.33
Kohlapur,ALLSKY_SFC_SW_DWN,2010,4.75,5.84,6.2,6.63,6.71,4.95,3.76,4.03,4.47,4.85,4.3,4.71,5.22
Kohlapur,ALLSKY_SFC_SW_DWN,2011,5.48,6.02,6.75,6.54,6.57,4.01,3.91,3.83,4.75,5.02,5.02,4.91,5.09
Kohlapur,ALLSKY_SFC_SW_DWN,2012,5.34,6.05,6.73,6.55,6.68,5.05,3.86,4.19,4.53,5.04,4.72,5.01,5.23
Kohlapur,ALLSKY_SFC_SW_DWN,2013,5.31,5.79,6.44,7.12,6.46,4.03,3.18,4.25,4.48,4.85,4.95,5.11,5.31
Kohlapur,ALLSKY_SFC_SW_DWN,2014,4.8,5.65,6.3,6.13,6.27,5.41,3.76,4.12,4.57,5.18,4.92,4.63,5.16
Kohlapur,ALLSKY_SFC_SW_DWN,2015,4.99,6.12,5.96,6.79,6.4,4.74,4.65,4.49,5.07,5.16,4.78,4.8,5.14
Kohlapur,ALLSKY_SFC_SW_DWN,2016,5.01,5.7,6.38,6.8,6.67,4.15,3.4,4.02,4.31,5.2,5.26,4.9,5.32
Kohlapur,ALLSKY_SFC_SW_DWN,2017,5.12,6.27,6.83,7.09,6.51,4.75,4.25,4.34,4.48,4.7,5.05,4.69,5.15
Kohlapur,ALLSKY_SFC_SW_DWN,2018,4.99,5.77,6.12,6.62,6.12,4.37,3.32,3.53,5.5,5.49,5,4.67,5.33
Kohlapur,ALLSKY_SFC_SW_DWN,2019,5.23,6.14,6.77,6.81,7.06,4.88,3.96,3.85,3.97,4.38,4.84,4.33,5.12
Kohlapur,ALLSKY_SFC_SW_DWN,2020,4.99,5.76,6.49,6.65,6.51,4.74,4.11,3.51,4.44,4.27,4.81,4.85,5.18
Kohlapur,ALLSKY_SFC_SW_DWN,2021,4.69,5.68,6.39,6.42,5.61,4.51,3.84,4.27,4.11,5.2,3.96,4.36,5.09
Kohlapur,ALLSKY_SFC_SW_DWN,2022,5.04,5.9,5.84,6.05,5.67,5,3.6,3.94,4.49,4.68,4.74,4.55,4.92
Kohlapur,CLRSKY_SFC_SW_DWN,2000,5.4,6.25,6.93,7.41,7.34,7.08,7.24,7.1,6.47,6,5.17,5.09,4.95
Kohlapur,CLRSKY_SFC_SW_DWN,2001,5.44,6.39,7.05,7.26,7.6,7.13,6.85,6.88,6.62,6.12,5.58,5.28,6.46
Kohlapur,CLRSKY_SFC_SW_DWN,2002,5.59,6.27,6.87,7.35,7.4,6.94,6.82,6.72,6.8,6.08,5.62,5.26,6.52
Kohlapur,CLRSKY_SFC_SW_DWN,2003,5.35,6.25,6.78,7.34,7.54,7.22,6.9,6.84,6.67,6.04,5.53,5.35,6.48
Kohlapur,CLRSKY_SFC_SW_DWN,2004,5.58,6.35,7.01,7.42,7.32,7.09,7.1,6.9,6.67,6.26,5.6,5.41,6.48
Kohlapur,CLRSKY_SFC_SW_DWN,2005,5.48,6.39,7.08,7.16,7.42,7.06,6.9,6.84,6.61,6.06,5.71,5.31,6.56
Kohlapur,CLRSKY_SFC_SW_DWN,2006,5.62,6.47,6.98,7.25,7.35,7.23,6.75,6.91,6.68,6.1,5.4,5.22,6.5
Kohlapur,CLRSKY_SFC_SW_DWN,2007,5.49,6.26,6.7,7.11,7.4,7.18,6.86,6.93,6.63,5.9,5.64,5.13,6.5
Kohlapur,CLRSKY_SFC_SW_DWN,2008,5.56,6.09,6.91,7.25,7.52,6.67,6.81,6.76,6.62,6.11,5.44,5.16,6.44
Kohlapur,CLRSKY_SFC_SW_DWN,2009,5.57,6.2,6.75,7.12,7.24,7.15,6.92,6.76,6.44,5.95,5.43,4.97,6.41
Kohlapur,CLRSKY_SFC_SW_DWN,2010,5.22,6.08,6.63,7.23,7.23,7.23,6.99,6.92,6.63,5.91,5.41,5.09,6.37
Kohlapur,CLRSKY_SFC_SW_DWN,2011,5.62,6.21,6.93,7.12,7.23,6.83,6.81,6.8,6.65,5.82,5.42,5.1,6.38
Kohlapur,CLRSKY_SFC_SW_DWN,2012,5.55,6.26,6.95,7.11,7.32,7.19,6.75,6.88,6.6,6.06,5.24,5.22,6.38
Kohlapur,CLRSKY_SFC_SW_DWN,2013,5.47,6.09,6.81,7.3,7.18,6.82,6.93,6.87,6.6,5.93,5.34,5.29,6.43
Kohlapur,CLRSKY_SFC_SW_DWN,2014,5.25,6.09,6.77,6.84,7.19,7,6.9,6.81,6.49,5.93,5.27,4.97,6.39
Kohlapur,CLRSKY_SFC_SW_DWN,2015,5.4,6.34,6.64,7.2,7.17,7.01,6.9,6.85,6.42,5.84,5.34,5.11,6.29
Kohlapur,CLRSKY_SFC_SW_DWN,2016,5.36,6.02,6.69,7.15,7.36,6.93,6.8,6.9,6.34,6.05,5.33,5.24,6.35
Kohlapur,CLRSKY_SFC_SW_DWN,2017,5.33,6.31,6.98,7.28,7.17,7.12,6.92,6.82,6.44,5.81,5.35,5.02,6.35
Kohlapur,CLRSKY_SFC_SW_DWN,2018,5.09,6.2,6.61,7.07,6.88,6.83,6.71,6.52,6.7,5.97,5.43,4.87,6.38
Kohlapur,CLRSKY_SFC_SW_DWN,2019,5.35,6.23,6.89,7.19,7.41,7.04,7,6.72,6.54,5.96,5.33,4.83,6.24
Kohlapur,CLRSKY_SFC_SW_DWN,2020,5.28,6,6.84,7.09,7.21,7.16,7.08,6.85,6.57,5.67,5.35,5.05,6.37
Kohlapur,CLRSKY_SFC_SW_DWN,2021,5.13,5.93,6.63,6.91,6.97,7.1,6.98,6.82,6.52,5.89,5.23,4.88,6.34
Kohlapur,CLRSKY_SFC_SW_DWN,2022,5.33,6.03,6.38,6.64,6.88,7.03,6.98,6.88,6.7,6.03,5.09,4.97,6.25
,,,,,,,,,,,,,,,6.25
,,,,,,,,,,,,,,,
Nagpur,Temperature,2000,20.65,23.04,27.83,35.15,35.01,29.71,26.98,26.81,26.51,26.4,24.1,20.99,
Nagpur,Temperature,2001,21.81,25.42,29.8,32.73,36.28,28.3,26.69,26.4,27.16,24.43,22.03,19.86,26.93
Nagpur,Temperature,2002,20.3,24.93,29.93,34.33,36.83,31.9,28.2,26.33,25.73,25.05,22.57,22.58,26.75
Nagpur,Temperature,2003,21.94,25.33,28.39,34.58,36.76,32.68,27.01,26.26,25.83,24.13,21.83,18.73,27.4
Nagpur,Temperature,2004,19.58,22.2,30.8,35,36.01,31.75,27.96,26.3,26.97,23.79,22.43,20.8,26.95
Nagpur,Temperature,2005,21.17,23.21,28.92,32.89,36.69,34.6,26.98,26.49,26.62,23.87,19.45,18.4,26.97
Nagpur,Temperature,2006,20.59,26.33,26.98,33.67,35.47,32.11,26.88,25.78,26.32,25.39,22.37,20.87,26.62
Nagpur,Temperature,2007,21.47,25,28.91,34.38,37.27,31.59,27.19,26.55,26.39,23.13,21.3,20.89,26.88
Nagpur,Temperature,2008,21.12,22.66,29.31,33.51,36.45,29.24,26.98,26.42,26.17,24.29,21.9,21.33,27.01
Nagpur,Temperature,2009,23.19,26.48,30.03,33.98,37.11,33.97,26.98,26.87,27.01,24.17,21.93,20.54,26.62
Nagpur,Temperature,2010,19.58,26.11,31.34,35.3,37.22,33.62,27.31,26.83,26.25,24.65,23.19,18.83,27.68
Nagpur,Temperature,2011,18.69,24.11,29.5,31.44,36.98,30.98,27.75,26.4,26.01,24.21,21.98,20.26,27.51
Nagpur,Temperature,2012,20.47,24.17,28.76,34.59,37.27,32.01,26.67,26.06,26.2,23.95,21.6,20.65,26.53
Nagpur,Temperature,2013,20.98,24.52,29.05,33.65,38.08,29.8,26.3,26,26.36,24.7,20.49,19.05,26.87
Nagpur,Temperature,2014,20.51,23.06,26.88,33.79,36.02,35.12,28.73,26.82,25.99,24.59,22.74,19.16,26.59
Nagpur,Temperature,2015,19.39,24.57,27.28,31.29,36.15,31.12,27.48,26.66,26.62,25.69,23.41,22.05,26.95
Nagpur,Temperature,2016,21.72,26.9,29.93,35.66,37.01,33.29,26.69,26.12,26.08,23.79,20.27,18.69,26.81
Nagpur,Temperature,2017,20.23,25.19,29.19,34.73,37.39,31.59,27.44,26.79,27.07,25.73,21.83,19.66,27.16
Nagpur,Temperature,2018,20.41,24.59,30.05,33.87,37.14,30.35,26.54,26.08,25.84,25.51,23.84,19.54,27.23
Nagpur,Temperature,2019,19.08,23.18,29,34.63,37.49,35.58,28.07,26.29,26.01,24.15,21.08,18.17,26.98
Nagpur,Temperature,2020,17.98,20.85,26.55,33.22,35.26,29.51,27.75,26.48,27.16,24.85,20.5,19.12,26.9
Nagpur,Temperature,2021,21.05,23.53,29.37,33.24,33.85,29.51,27.87,27.05,26.71,24.58,21.87,19.19,25.77
Nagpur,Temperature,2022,18.38,21.58,30.19,35.42,36.87,33,26.83,26.37,26.32,23.87,19.73,20.15,26.49
Nagpur,Humidity,2000,35.31,35.31,14.62,13.81,36.75,67.69,81.56,84.81,80.75,60.5,38.12,18.06,26.58
Nagpur,Humidity,2001,25.12,16.25,29.38,29.81,30.56,73.5,81.81,87.31,78.44,79.12,68.75,50,47.31
Nagpur,Humidity,2002,41.56,37.31,20,16.94,26.19,59.69,76.25,87,82.62,70.19,52.31,34.94,54.38
Nagpur,Humidity,2003,27.75,45.25,31,23.38,16.38,53.94,85.5,88.69,89.56,82.12,74.25,67,50.5
Nagpur,Humidity,2004,61.88,40.38,18.88,20,32.19,57.94,77.5,86.5,83.25,71.75,60.5,42.94,57.12
Nagpur,Humidity,2005,41.56,51.56,32.25,21.38,21.94,44.31,84.81,86.75,85.5,81.06,66.94,59.06,54.56
Nagpur,Humidity,2006,40.12,21.56,47.06,24.38,36.06,54,83.75,88.81,86.25,75.19,73.81,58.75,56.5
Nagpur,Humidity,2007,34.38,34.69,25.81,19.62,22.88,61.81,83.44,86.31,86,71.19,63.38,55.69,57.75
Nagpur,Humidity,2008,37.31,27.12,32.06,22.38,21.88,68.12,82.5,87.44,85.5,73.56,69.06,49.19,53.88
Nagpur,Humidity,2009,41.19,22.38,19,14.56,25,47.88,85.38,85.69,82.75,70.31,71,62.31,54.75
Nagpur,Humidity,2010,41.81,31.19,20.56,16.38,23.88,51.38,85.56,88.69,86.12,82.19,81,66.75,52.5
Nagpur,Humidity,2011,49.44,36.88,20.5,40.44,24.06,61.81,79.94,88.31,86.69,75,64.81,55.06,56.5
Nagpur,Humidity,2012,48.06,27.5,14,19.62,18.19,57,85.31,89.38,86.62,74.44,70.12,57.75,57
Nagpur,Humidity,2013,40.75,42.88,26.88,27.06,18.94,70.38,87.94,89.38,85.56,83.25,76.69,65.88,54.06
Nagpur,Humidity,2014,61.5,42.81,48,23.88,27.88,42.38,73.5,83.5,83.56,76.62,61.25,50.88,59.69
Nagpur,Humidity,2015,48.88,34.25,43.06,37.94,28.94,63.69,80.38,86.12,82.06,72.88,68.94,42.62,56.44
Nagpur,Humidity,2016,32.25,30.5,32.31,20.69,28.88,52.94,87.38,87.56,87.56,76.12,64.5,56.31,57.62
Nagpur,Humidity,2017,47.25,26.81,21,13.69,25.5,61.69,80.88,84.94,83.88,74.69,68.25,52.5,54.88
Nagpur,Humidity,2018,29.94,35.75,22,24.06,26.12,67,85.5,86.44,81.88,66.38,52.25,51,53.62
Nagpur,Humidity,2019,39.44,33.81,27.56,19.94,18.94,42.69,79.38,88.19,91.56,85.19,80.62,77.81,52.44
Nagpur,Humidity,2020,69.56,57.31,50.88,26.88,31.56,70.12,83.06,89.12,84.81,81.25,75.31,63.94,57.25
Nagpur,Humidity,2021,50.62,32.12,25.31,20.19,39.56,71.38,81.5,84.25,86.88,78.31,78.5,66.19,65.38
Nagpur,Humidity,2022,66.06,48.44,23.31,17.94,27,52.62,87.81,89,87.69,82.88,73.75,67.94,59.75
Nagpur,Windspped,2000,1.64,1.88,2.44,2.39,2.86,2.97,2.82,2.64,1.74,1.12,1.16,1.53,60.5
Nagpur,Windspped,2001,1.52,1.83,1.84,1.88,2.77,3.38,3.16,2.67,1.34,1.35,1.42,1.15,2.1
Nagpur,Windspped,2002,1.7,1.91,2,2.19,3.45,3.2,3.11,2.84,2.3,1.35,1.52,1.38,2.03
Nagpur,Windspped,2003,1.62,1.88,1.84,1.88,3.28,3.45,2.76,2.62,2.3,2,1.01,1.48,2.25
Nagpur,Windspped,2004,1.62,1.64,1.7,2.45,2.91,3.23,2.54,3.16,1.28,1.59,1.33,1.48,2.18
Nagpur,Windspped,2005,1.84,1.69,1.88,2.01,2.38,2.97,2.96,2.57,2.06,1.73,1.3,1.45,2.08
Nagpur,Windspped,2006,1.52,1.41,1.84,1.94,2.71,2.86,3.53,3.29,1.59,1.16,1.11,1.19,2.07
Nagpur,Windspped,2007,1.47,1.93,2.07,1.86,2.76,3.26,2.87,2.35,1.7,1.49,1.22,1.52,2.02
Nagpur,Windspped,2008,1.77,1.82,1.71,1.8,3.15,3.06,2.6,2.27,1.8,1.15,1.52,1.31,2.04
Nagpur,Windspped,2009,1.56,1.64,1.81,2.04,2.59,2.93,3.16,2.12,1.8,1.5,1.59,1.31,2
Nagpur,Windspped,2010,1.59,1.84,1.79,2.43,2.91,3.16,2.3,1.83,1.7,1.66,1.4,1.45,2.01
Nagpur,Windspped,2011,1.56,1.68,1.84,1.83,2.52,3.38,2.52,2.01,1.91,1.27,1.24,1.42,2
Nagpur,Windspped,2012,1.84,1.88,1.91,1.95,2.8,3.41,3.37,2.83,1.72,1.25,1.32,1.38,1.93
Nagpur,Windspped,2013,1.73,1.89,1.88,2.28,3.08,3.15,3.53,2.68,1.53,1.64,1.38,1.3,2.14
Nagpur,Windspped,2014,1.66,1.93,1.78,2,2.69,3.38,3.77,2.34,2.09,1.38,1.32,1.75,2.18
Nagpur,Windspped,2015,1.78,1.73,1.68,2.24,2.76,2.77,3.13,2.69,1.59,1.06,1.42,1.61,2.17
Nagpur,Windspped,2016,1.55,1.7,1.81,2.2,2.92,2.72,3.05,2.76,1.99,1.41,1.17,1.37,2.04
Nagpur,Windspped,2017,1.45,1.7,1.91,2.58,2.68,2.97,3.13,2.28,1.32,0.98,1.27,1.46,2.05
Nagpur,Windspped,2018,1.45,1.46,1.63,1.89,2.62,2.89,3.4,3.19,2.01,1.26,1.2,1.62,1.98
Nagpur,Windspped,2019,1.63,1.88,2.02,1.72,2.79,2.85,3.48,3.02,2.27,1.45,1.3,1.59,2.05
Nagpur,Windspped,2020,1.7,1.88,1.73,1.68,2.05,2.42,1.77,2.93,1.18,1.5,1.59,1.36,2.17
Nagpur,Windspped,2021,1.53,1.46,1.6,1.49,2.61,2.79,2.66,2.16,1.9,1.43,1.65,1.52,1.82
Nagpur,Windspped,2022,1.61,1.55,1.52,1.74,2.77,2.5,2.61,2.45,1.95,1.58,1.22,1.47,1.91
Nagpur,Precipitation,2000,0,0,0,0,0,5.27,10.55,5.27,0,0,0,0,1.91
Nagpur,Precipitation,2001,0,0,0,0,0,10.55,10.55,10.55,5.27,5.27,0,0,0
Nagpur,Precipitation,2002,0,0,0,0,0,10.55,5.27,10.55,5.27,0,0,0,5.27
Nagpur,Precipitation,2003,0,0,0,0,0,10.55,10.55,10.55,5.27,0,0,0,5.27
Nagpur,Precipitation,2004,0,0,0,0,0,5.27,10.55,5.27,0,0,0,0,5.27
Nagpur,Precipitation,2005,5.27,0,0,0,0,5.27,10.55,5.27,10.55,5.27,0,0,0
Nagpur,Precipitation,2006,0,0,0,0,0,5.27,15.82,10.55,10.55,0,0,0,5.27
Nagpur,Precipitation,2007,0,0,0,0,0,10.55,10.55,5.27,5.27,0,0,0,5.27
Nagpur,Precipitation,2008,0,0,0,0,0,5.27,10.55,5.27,5.27,0,0,0,5.27
Nagpur,Precipitation,2009,0,0,0,0,0,5.27,10.55,10.55,5.27,0,0,0,5.27
Nagpur,Precipitation,2010,0,0,0,0,0,5.27,15.82,15.82,10.55,0,0,0,5.27
Nagpur,Precipitation,2011,0,0,0,0,0,5.27,5.27,10.55,5.27,0,0,0,5.27
Nagpur,Precipitation,2012,0,0,0,0,0,5.27,15.82,5.27,10.55,0,0,0,5.27
Nagpur,Precipitation,2013,0,0,0,0,0,15.82,21.09,5.27,5.27,5.27,0,0,5.27
Nagpur,Precipitation,2014,0,0,0,0,0,0,15.82,5.27,5.27,0,0,0,5.27
Nagpur,Precipitation,2015,0,0,0,0,0,15.82,5.27,15.82,5.27,0,0,0,5.27
Nagpur,Precipitation,2016,0,0,0,0,0,5.27,15.82,10.55,5.27,0,0,0,5.27
Nagpur,Precipitation,2017,0,0,0,0,0,5.27,15.82,10.55,5.27,0,0,0,5.27
Nagpur,Precipitation,2018,0,0,0,0,0,5.27,10.55,5.27,5.27,0,0,0,5.27
Nagpur,Precipitation,2019,0,0,0,0,0,5.27,10.55,10.55,15.82,0,0,0,5.27
Nagpur,Precipitation,2020,0,0,0,0,0,5.27,10.55,15.82,5.27,0,0,0,5.27
Nagpur,Precipitation,2021,0,0.19,0.34,0.09,1.33,7.33,11.01,5.3,10.82,0.88,0.23,0.6,5.27
Nagpur,Precipitation,2022,2.11,0.25,0.03,0.01,0.28,4.28,20.62,15.65,9.06,3.04,0,0.13,3.19
Nagpur,ALLSKY_SFC_SW_DWN,2000,4.84,5.01,6.47,7.08,6.41,4.83,3.97,4.47,5,5.66,4.87,4.53,4.67
Nagpur,ALLSKY_SFC_SW_DWN,2001,4.44,5.57,5.81,6.72,6.72,4.44,3.51,3.97,5.2,5.02,5.01,4.48,5.26
Nagpur,ALLSKY_SFC_SW_DWN,2002,4.51,4.93,6.11,6.77,6.89,4.8,4.67,3.21,5.35,5.53,5.06,4.4,5.07
Nagpur,ALLSKY_SFC_SW_DWN,2003,4.55,5.17,6.29,6.85,7,5.72,3.92,3.59,3.41,5.14,4.89,4.43,5.18
